"CPO Production (Thousand Tonnes)"
Period,Indonesia,Malaysia,Thailand,Colombia,Nigeria,"Papua New Guinea",Honduras,Ghana,World
2010,21958,16994,1360,753,780,488,275,200,46245
2011,23097,18912,1710,945,800,580,320,234,50957
2012,26016,18785,1820,974,840,480,395,242,53882
2013,27782,19216,2134,1041,880,500,425,256,56834
2014,29278,19667,2000,1111,910,545,460,269,60168
2015,31070,19962,2068,1275,940,525,480,269,63073
2016,31731,17319,1804,1146,960,565,580,269,60057
2017,37965,19919,2602,1627,1040,645,690,274,69638
2018,43108,19516,2775,1632,1130,660,653,540,74819
2019,47180,19858,3040,1529,1220,625,707,560,77152
2020,47034,19141,2690,1558,1280,680,700,560,75478
2021,46888,18116,2940,1748,1350,765,650,565,76615
2022,46729,18453,3240,1769,1420,810,645,575,79411
2023,48530,18552,3323,1842,1460,770,655,300,81707
2024,44000,19338,3480,1720,1540,695,500,300,79252
