"CPO and Processed Palm Oil Export (Million Tonnes)"
Period,Indonesia,Malaysia,Thailand,"Papua New Guinea",Colombia,Honduras,Ghana,Nigeria,World
2010,16292,16664,133,486,114,156,11,10,36487
2011,16436,17993,391,572,168,206,13,40,39096
2012,18851,17575,304,483,188,269,27,23,40636
2013,20578,18147,562,487,202,295,57,18,43816
2014,22892,17306,238,515,274,330,105,51,44448
2015,26468,17454,60,487,438,342,127,20,48761
2016,22762,16046,41,541,414,436,102,8,44393
2017,27354,16560,316,622,605,540,89,7,51099
2018,30376,16487,354,614,742,521,330,4,52532
2019,31076,18471,275,571,671,572,340,4,55103
2020,28274,17395,222,602,666,536,330,4,50833
2021,27407,15566,610,708,472,491,355,4,50387
2022,27255,15730,972,710,560,484,210,4,50602
2023,28630,15131,903,740,469,515,160,4,51254
2024,23996,16903,877,652,409,390,40,18,47769
