"Domestic Consumption of Palm Oil (Million Tonnes)"
Period,Indonesia,Malaysia,Thailand,Nigeria,Colombia,Ghana,Honduras,"Papua New Guinea",World
2010,5456,2185,1242,1639,662,285,123,10,46524
2011,6349,2203,1374,1733,768,295,128,12,48766
2012,7128,2267,1561,1860,796,330,138,14,52580
2013,8033,2353,1746,2161,867,340,143,31,57938
2014,8643,2818,1830,2294,863,330,149,42,55530
2015,7087,2917,1948,2517,844,330,154,47,57772
2016,11064,2656,1953,2480,754,370,161,50,60712
2017,11056,2859,2108,2490,813,440,167,54,66385
2018,13491,3387,2453,2469,779,531,167,64,71703
2019,16747,3570,2843,2576,829,554,176,75,79006
2020,17349,3437,2561,2458,848,546,182,83,76071
2021,18422,3378,2420,2399,1211,560,189,88,77155
2022,20968,3282,2178,2330,1319,554,199,89,76217
2023,20418,4223,2490,2483,1460,370,212,85,81707
2024,21402,3271,2563,2439,1463,380,235,16,79252
