"Oil Palm Matured Area (000 Ha)"
Period,Indonesia,Malaysia,Thailand,Nigeria,Colombia,Ghana,Honduras,"Papua New Guinea",World
2010,6262,4202,590,430,256,360,100,135,12936
2011,6551,4282,620,450,273,382,105,140,13662
2012,6990,4353,645,420,302,397,110,143,14897
2013,7856,4526,690,425,336,409,117,146,15785
2014,8130,4689,720,440,350,349,125,150,16550
2015,8571,4859,750,450,374,426,130,152,17377
2016,8844,5001,770,465,396,434,155,158,18465
2017,10448,5111,820,480,422,347,175,173,20453
2018,11699,5189,860,500,449,351,180,185,21970
2019,11856,5217,920,525,466,370,190,192,22768
2020,11992,5232,933,540,481,375,200,194,23420
2021,12047,5144,950,570,483,380,210,196,23867
2022,12712,5127,990,600,487,388,217,203,24281
2023,14170,5100,1030,620,535,360,225,210,24648
2024,14270,5060,1060,638,560,360,230,218,24893
