"Palm Oil Import  (Million Tonnes)"
Period,India,China,EU,Pakistan,USA,Bangladesh,Nigeria,Russia,World
2010,6649,5823,5946,2100,948,1065,799,635,37201
2011,6745,6221,5338,2014,1088,946,1153,671,38738
2012,7817,6591,6155,2036,991,1013,933,694,41228
2013,8472,6190,7221,2413,1373,1250,1299,783,44088
2014,7931,5634,7303,2454,1188,1246,1655,748,44327
2015,9665,6030,7265,2784,1232,1453,1577,937,48048
2016,8374,4594,7490,2651,1292,1374,1302,920,44829
2017,9353,5196,8290,2937,1399,1535,1499,938,50299
2018,9097,5428,8395,2979,1549,1716,1344,1098,51546
2019,10037,7659,8780,3180,1577,1520,1333,1106,55321
2020,7514,6567,8175,3138,1418,1315,1197,1064,50213
2021,8514,6633,7348,3153,1693,1429,1108,1134,51172
2022,9467,5491,6406,2816,1713,1543,874,910,50602
2023,9550,6437,6056,2984,1850,1564,1137,830,51635
2024,8925,4664,5012,3093,1749,1566,764,795,46857
