"Palm Oil Yield (T/Ha)"
Period,Indonesia,Malaysia,Nigeria,Thailand,Colombia,Ghana,Honduras,"Papua New Guinea","Other Countries"
2010,5456,2185,1639,1242,662,285,123,10,34922
2011,6349,2203,1733,1374,768,295,128,12,35904
2012,7128,2267,1860,1561,796,330,138,14,38486
2013,8033,2353,2161,1746,867,340,143,31,42264
2014,8643,2818,2294,1830,863,330,149,42,38561
2015,7087,2917,2517,1948,844,330,154,47,41928
2016,11064,2656,2480,1953,754,370,161,50,42879
2017,11056,2859,2490,2108,813,440,167,54,40725
2018,13491,3387,2469,2453,779,531,167,64,43044
2019,16747,3570,2576,2843,829,554,176,75,51636
2020,17349,3437,2458,2561,848,546,182,83,48607
2021,18422,3378,2399,2420,1211,560,189,88,48488
2022,20968,3282,2330,2178,1319,554,199,89,45298
2023,20418,4223,2483,2490,1460,572,212,85,50218
2024,21402,3271,2439,2563,1463,380,235,16,48630
